occscheme,occtype,occ_desc,occ_array,occ_array_cleansed
ATC,3,Temporary Lodging,"Hotels and lodging places, Bath House,Black Oak Building,Delhart Building,Detached Building,Dogwood Building,Hotel,Hunter House,Indian Flats Campground,Juniper Building,Manzanita Building,Maple Building,Redbud Building,Redwood Building,Resort   Golf,Rush Creek Campground,Sequoia Building,Frame Bldg,3 units","Hotels and lodging places, Bath House,Black Oak Building,Delhart Building,Detached Building,Dogwood Building,Hotel,Hunter House,Indian Flats Campground,Juniper Building,Manzanita Building,Maple Building,Redbud Building,Redwood Building,Resort   Golf,Rush Creek Campground,Sequoia Building,Frame Bldg, units"
ATC,4,Group Institutional Housing,"Nursing homes, Residential care, Retirement centers, College dormitories, Stone Street Retirement,,El Campo Retirement,,Fairfield Retirement,","Nursing homes, Residential care, Retirement centers, College dormitories, Stone Street Retirement,El Campo Retirement,Fairfield Retirement,"
ATC,5,Retail Trade,"Retail stores and other retail trade, 5-Retail Trade,Vermont Ave,Los Angeles Ca Pharmacy,AD Ettelbruck,AD Gasperich,Archive,Bakery+temporary warehouse,Building,Camping World Retail,Closed (,OWNED,Pharmacy,Print Shop,Property,Proxy,Raleigh Store,RENT,RENT LEASE,Retail,Retail - Vacant,retail  commercial units,-store),Commercial,Delhaize,Delimmo,FIN LEASE,Health Club Retail,Office Retail,COA,separate bldg insurance,Retail  Indoor Soccer,RETAIL 125450,Retail Building,Retail Shopping Center,Retail Store,Retail Store +,Retail store +
(additional warehouse),RETAIL STORE, BAR, STUDIO,Retail Store+Shops,Retail Office,Salvage Store,Shop,Shopping Center,Shopping Strip,Shopping
Centers,Shops,Shops+Commor area,Smart Food Shopping,Store,SHOP  LIQUOR STORE,Supermarket,Supermarket   Retail Store,Supermarket   Wholesale Store,Thrift Shop,Thrift Store,Testing","Retail stores and other retail trade, Retail Trade,Vermont Ave,Los Angeles Ca Pharmacy,AD Ettelbruck,AD Gasperich,Archive,Bakerytemporary warehouse,Building,Camping World Retail,Closed (,OWNED,Pharmacy,Print Shop,Property,Proxy,Raleigh Store,RENT,RENT LEASE,Retail,Retail  Vacant,retail  commercial units,store),Commercial,Delhaize,Delimmo,FIN LEASE,Health Club Retail,Office Retail,COA,separate bldg insurance,Retail  Indoor Soccer,RETAIL ,Retail Building,Retail Shopping Center,Retail Store,Retail Store ,Retail store 
(additional warehouse),RETAIL STORE, BAR, STUDIO,Retail StoreShops,Retail Office,Salvage Store,Shop,Shopping Center,Shopping Strip,Shopping
Centers,Shops,ShopsCommor area,Smart Food Shopping,Store,SHOP  LIQUOR STORE,Supermarket,Supermarket   Retail Store,Supermarket   Wholesale Store,Thrift Shop,Thrift Store,Testing"
ATC,6,Wholesale Trade,"Warehouses, Sales offices, Other wholesale trade, Recreational related wholesale trade, -Dwelling,North Warehouse,Office, Training, Distribution,Office, Warehouse,Office Storage,Office Warehouse,Offsite Storage,Omaha, NE (Oil Storage),Open Air Shed,Peanut wearhouse Stillwell St,Polk Building,Potato Shed,Products distribution warehouse,Records Storage,Speedway Distribution Center,stillwell storage 150x63 green shed,Storage,Storage Space,TREATED WOOD SHEDS 1778,Warehouse,Warehouse  Distribution,Warehouse   Distribution,Warehouse + Offices,warehouse lease,Cold Storage Warehouse,Cold Storage Whse,Cold Storage Whse  Corporate Office,Distribution,Distribution Center,Employee  Truck Parking,Equipment warehouse,Everly, IA (Oil Storage),General Offices,INDUSTRAIL,Industrial Warehouse,INSULATION STORAGE SHED 5090,LRO -- Sysco Foods,LUMBER SHED 24384,LUMBER SHED 30100 3,UNIT (12 01),Administrative, Distribution,Algona, IA (Oil Storage),Americold,Americold Logistics,Armstrong Warehouse,B1 - Office
B2 - Office Warehouse,Bulk Distribution,Cart Barn,Closed (,Warehouse, Office,Wilkerson Storage,-warehouse, office),Closed (Warehouse - Office,,Bldg 6,LUMBER SHED 3050,LUMBERSHEDS 30150,MulitfFlex,MulitFlex,MultiFlex,wholesale store),Closed (Warehouse,CONCRETE BASE DRY KILN SHED  CONTENTS,green shaving bin,METAL STORAGE SHED (,STEEL LUMBERSHED back property line akins,tee shed,METAL SHED,Bldg 12,Part,LUMBER (,rail road 6ft,STEEL LUMBERSHED,office planer side,office,akins,metal,SORTER HYDR,Part","Warehouses, Sales offices, Other wholesale trade, Recreational related wholesale trade, Dwelling,North Warehouse,Office, Training, Distribution,Office, Warehouse,Office Storage,Office Warehouse,Offsite Storage,Omaha, NE (Oil Storage),Open Air Shed,Peanut wearhouse Stillwell St,Polk Building,Potato Shed,Products distribution warehouse,Records Storage,Speedway Distribution Center,stillwell storage x green shed,Storage,Storage Space,TREATED WOOD SHEDS ,Warehouse,Warehouse  Distribution,Warehouse   Distribution,Warehouse  Offices,warehouse lease,Cold Storage Warehouse,Cold Storage Whse,Cold Storage Whse  Corporate Office,Distribution,Distribution Center,Employee  Truck Parking,Equipment warehouse,Everly, IA (Oil Storage),General Offices,INDUSTRAIL,Industrial Warehouse,INSULATION STORAGE SHED ,LRO  Sysco Foods,LUMBER SHED ,LUMBER SHED  ,UNIT ( ),Administrative, Distribution,Algona, IA (Oil Storage),Americold,Americold Logistics,Armstrong Warehouse,B  Office
B  Office Warehouse,Bulk Distribution,Cart Barn,Closed (,Warehouse, Office,Wilkerson Storage,warehouse, office),Closed (Warehouse  Office,Bldg ,LUMBER SHED ,LUMBERSHEDS ,MulitfFlex,MulitFlex,MultiFlex,wholesale store),Closed (Warehouse,CONCRETE BASE DRY KILN SHED  CONTENTS,green shaving bin,METAL STORAGE SHED (,STEEL LUMBERSHED back property line akins,tee shed,METAL SHED,Bldg ,Part,LUMBER (,rail road ft,STEEL LUMBERSHED,office planer side,office,akins,metal,SORTER HYDR,Part"
ATC,7,Personal and Repair Services,"Beauty and barber shops, Electrical repair shops, Automotive rental and leasing, Automotive repair and services, Automotive parking and car wash, Funeral services and crematories, Laundry cleaning and shoe repair, Watch clock jewelry furniture repair, Photo studios and miscellaneous personal services, maintenance,maintenance building,centers storage,camping world,shop building","Beauty and barber shops, Electrical repair shops, Automotive rental and leasing, Automotive repair and services, Automotive parking and car wash, Funeral services and crematories, Laundry cleaning and shoe repair, Watch clock jewelry furniture repair, Photo studios and miscellaneous personal services, maintenance,maintenance building,centers storage,camping world,shop building"
ATC,8,"Professional, Technical and Business Services","Banking, Advertising, Real estate, Legal services, Credit agencies, Office buildings, Insurance carriers, Services to buildings, Other business services, Personnel supply services, Miscellaneous repair shops, Equipment rental and leasing, Insurance agents and brokers, Security and commodity brokers, Detective and protective services, Engineering architectural services, Management and consulting services, Accounting auditing and bookkeeping, Photofinishing commercial photography, Computer and data processing services, Arrangement of passenger transportation, Business Services,Admin Office,Administration,American Golf Corporate -  Texas Regional Office,American Golf Corporate - Home Corporate Office,ASHCROFT OFFICE,ATT Office,Bank,BlackArch,BRANCH,BRANCH OFFICE,BRANCH OFFICE PARKING,Building,CALL CENTER,CBC,Class,lot,Home Office Headquarters,Industrial Warehouse,LRO -- Bank,Real Estate Broker,LRO -- Law Firm  Real Estate Office,LRO -- Law Office,LRO -- State Farm Claims Office,Main Office,+ office,Commercial,Commercial   Office,Corp Office,Corporate - Omaha, NE,Corporate Office,Data Center,Office, Administration,Offices,Offsite Computer Main Data Center,OPERATIONS,Operations Office,Pharmacy,Marine Service Bldg (East),Marine Service Bldg (Middle),Marine Service Bldg (West),Marketing Office Soundstage,Office - IRS,Office - Legal,Office - Sales,Office Bldg,Office Building,Office Buildings,office lease,Office Space,Office Suites,Office,-Dwelling,Office - Biomet Sports Med,Loc,Data Center Provider,Guard House,WOOD FRAME OFFICE BUILDING,RDT,Retail- 1st fl,Office - Class,office,OFFICE BUILDING (PERSONNEL OFFICE), 67X31,Office- 2nd-3rd floors,RIG,Server,STERLING,Training Center,Training Facility & Mock Store","Banking, Advertising, Real estate, Legal services, Credit agencies, Office buildings, Insurance carriers, Services to buildings, Other business services, Personnel supply services, Miscellaneous repair shops, Equipment rental and leasing, Insurance agents and brokers, Security and commodity brokers, Detective and protective services, Engineering architectural services, Management and consulting services, Accounting auditing and bookkeeping, Photofinishing commercial photography, Computer and data processing services, Arrangement of passenger transportation, Business Services,Admin Office,Administration,American Golf Corporate   Texas Regional Office,American Golf Corporate  Home Corporate Office,ASHCROFT OFFICE,ATT Office,Bank,BlackArch,BRANCH,BRANCH OFFICE,BRANCH OFFICE PARKING,Building,CALL CENTER,CBC,Class,lot,Home Office Headquarters,Industrial Warehouse,LRO  Bank,Real Estate Broker,LRO  Law Firm  Real Estate Office,LRO  Law Office,LRO  State Farm Claims Office,Main Office, office,Commercial,Commercial   Office,Corp Office,Corporate  Omaha, NE,Corporate Office,Data Center,Office, Administration,Offices,Offsite Computer Main Data Center,OPERATIONS,Operations Office,Pharmacy,Marine Service Bldg (East),Marine Service Bldg (Middle),Marine Service Bldg (West),Marketing Office Soundstage,Office  IRS,Office  Legal,Office  Sales,Office Bldg,Office Building,Office Buildings,office lease,Office Space,Office Suites,Office,Dwelling,Office  Biomet Sports Med,Loc,Data Center Provider,Guard House,WOOD FRAME OFFICE BUILDING,RDT,Retail st fl,Office  Class,office,OFFICE BUILDING (PERSONNEL OFFICE), X,Office ndrd floors,RIG,Server,STERLING,Training Center,Training Facility & Mock Store"
ATC,9,Health Care Service,"Clinics, Nursing and personal care, Doctors’ and dentists’ offices, Other medical and health services, Site,Clinic Pharmacy,Dental Clinic,Disease Mgmt Office,Healthcare Center,Building,Case Mgmt, Public Health, Admin,Clinic,Pharmacy,Worth Tx,Pharmacy Drop,LRO -- Eye Doctor  Primary Care Medical Office,Medical Clinic-B122  Office B125,Medical Office,Medical Office  Research,Medical Research,1120 Cherry St,Beach St,Admin Offoce,OTC,Outpatient Clinic,Outpatient Medical Care,Outpatient Medical Clinic,Pharmacy  Clinic,Primary Care Clinic,Research,Thrift Store  Healthcare Center,Thrift Store/Hiv Testing Site","Clinics, Nursing and personal care, Doctors’ and dentists’ offices, Other medical and health services, Site,Clinic Pharmacy,Dental Clinic,Disease Mgmt Office,Healthcare Center,Building,Case Mgmt, Public Health, Admin,Clinic,Pharmacy,Worth Tx,Pharmacy Drop,LRO  Eye Doctor  Primary Care Medical Office,Medical ClinicB  Office B,Medical Office,Medical Office  Research,Medical Research, Cherry St,Beach St,Admin Offoce,OTC,Outpatient Clinic,Outpatient Medical Care,Outpatient Medical Clinic,Pharmacy  Clinic,Primary Care Clinic,Research,Thrift Store  Healthcare Center,Thrift StoreHiv Testing Site"
ATC,10,Entertainment and Recreation,"Bars, Theaters, Movie theaters, Sports stadiums, Racing and track operation, Bowling alleys and pool halls, Dance halls studios and schools, Amusement and recreation services, Membership sports and recreation clubs, country club,golf club,park golf,canyon golf,ranch golf,club,country,park,canyon,santa,house,pontoon,center,golf,trophy club,pontoon boat,rec park,pavilion,main pavilion,club house,golf","Bars, Theaters, Movie theaters, Sports stadiums, Racing and track operation, Bowling alleys and pool halls, Dance halls studios and schools, Amusement and recreation services, Membership sports and recreation clubs, country club,golf club,park golf,canyon golf,ranch golf,club,country,park,canyon,santa,house,pontoon,center,golf,trophy club,pontoon boat,rec park,pavilion,main pavilion,club house,golf"
ATC,11,Parking,"Parking garages, Archive-garage,BB Rear Parking,Bus Barn Garage,Bus Garage,Carport,Carport 1-2,Carport 3-4,Carport 5-6,Commercial,Covered Parking,Covered Parking (Elementary Gym Area),Dwelling Garage,Garage,Metal Parking Awning,Parking,Parking Garage,Parking Garage Industrial,Parking Lot,Parking Lot Expansion    Sales Price,Parking Pavilion,Parking Pavillion,Parking Pavillion 1,Parking Pavillion 2,Parking Pavillion 3,Parking Structure,Surface Parking Lot,Temp,Parking Lot Lease expires 2 28 17,Trailer Parking Lot","Parking garages, Archivegarage,BB Rear Parking,Bus Barn Garage,Bus Garage,Carport,Carport ,Carport ,Carport ,Commercial,Covered Parking,Covered Parking (Elementary Gym Area),Dwelling Garage,Garage,Metal Parking Awning,Parking,Parking Garage,Parking Garage Industrial,Parking Lot,Parking Lot Expansion    Sales Price,Parking Pavilion,Parking Pavillion,Parking Pavillion ,Parking Pavillion ,Parking Pavillion ,Parking Structure,Surface Parking Lot,Temp,Parking Lot Lease expires   ,Trailer Parking Lot"
ATC,12,Heavy Fabrication and Assembly,"Pulp mills, Metal tools, Particleboard, Wood products, Farm machinery, Wood preserving, Paperboard mills, Reclaimed rubber, Storage batteries, Veneer and plywood, Railroad equipment, Aircraft and parts, Household appliances, Tires and inner tubes, Structural wood members, Food products machinery, Complete guided missiles, Special product sawmills, Tanks and tank components, Lawn and garden equipment, Fabricated rubber products, Steam engines and turbines, Commercial laundry equipment, Rubber and plastics footwear, Prefabricated wood buildings, Motor vehicles and equipment, Industrial furnaces and ovens, Heating and plumbing equipment, Metal cans barrels drums pails, Building paper and board mills, Elevators and moving stairways, Motorcycles bicycles and parts, Other ordnance and accessories, Miscellaneous plastics products, Ammunition except for small arms, Automatic merchandising machines, Construction and mining machinery, Paper mills except building paper, Sawmills and planing mills general, Refrigeration and heating equipment, Ship and boat building and repairing, Rubber and plastics hoses and belting, Logging camps and logging contractors, Hardwood dimension and flooring mills, Travel trailers campers and mobile homes, Transformers switchgear and switchboard apparatus, , Chipper, air water , building, conveying equipment, mach , elec,,burner,Green Peerless high pressure blow system  blue feed system,PLANER  BUILDING (CONTENTS INCLUDED),PLANER MILL STEEL BUILDING,FREE STAND DIRECT FIRED TRACK KILN (MOORE),128X150 STEEL LUMBER STORAGE PLANNER add,bldg  equip mach,EQUIP MACH  LOG CRANE,log crane -debarker,contents,waste conv,SHAVINGS BIN INCLUDING,Concrete Stacker Building,HAMMERMILL BUILDING (,equipment moco,PLANER),end,equipment,detail,Steel,MACH EQUIP,SAWMILL-BLDG,RESAW BUILDING-STEEL BUILDING,trimmer sorter,Quad band,CONCRETE FLOOR (,DIRT FLOOR,sorter -,edger,gang,maxi,items,included,areas","Pulp mills, Metal tools, Particleboard, Wood products, Farm machinery, Wood preserving, Paperboard mills, Reclaimed rubber, Storage batteries, Veneer and plywood, Railroad equipment, Aircraft and parts, Household appliances, Tires and inner tubes, Structural wood members, Food products machinery, Complete guided missiles, Special product sawmills, Tanks and tank components, Lawn and garden equipment, Fabricated rubber products, Steam engines and turbines, Commercial laundry equipment, Rubber and plastics footwear, Prefabricated wood buildings, Motor vehicles and equipment, Industrial furnaces and ovens, Heating and plumbing equipment, Metal cans barrels drums pails, Building paper and board mills, Elevators and moving stairways, Motorcycles bicycles and parts, Other ordnance and accessories, Miscellaneous plastics products, Ammunition except for small arms, Automatic merchandising machines, Construction and mining machinery, Paper mills except building paper, Sawmills and planing mills general, Refrigeration and heating equipment, Ship and boat building and repairing, Rubber and plastics hoses and belting, Logging camps and logging contractors, Hardwood dimension and flooring mills, Travel trailers campers and mobile homes, Transformers switchgear and switchboard apparatus, , Chipper, air water , building, conveying equipment, mach , elec,burner,Green Peerless high pressure blow system  blue feed system,PLANER  BUILDING (CONTENTS INCLUDED),PLANER MILL STEEL BUILDING,FREE STAND DIRECT FIRED TRACK KILN (MOORE),X STEEL LUMBER STORAGE PLANNER add,bldg  equip mach,EQUIP MACH  LOG CRANE,log crane debarker,contents,waste conv,SHAVINGS BIN INCLUDING,Concrete Stacker Building,HAMMERMILL BUILDING (,equipment moco,PLANER),end,equipment,detail,Steel,MACH EQUIP,SAWMILLBLDG,RESAW BUILDINGSTEEL BUILDING,trimmer sorter,Quad band,CONCRETE FLOOR (,DIRT FLOOR,sorter ,edger,gang,maxi,items,included,areas"
